ID,English/Anglais,French/Français,Type,Notify_Organisation_ID,Email_Domain
001I9000004Vt6GIAS,Royal Canadian Mounted Police,Gendarmerie royale du Canada,GC Department,6022df15-563b-4ceb-b1e2-33ad17136286,rcmp-grc.gc.ca
001OO00000Gg8ZWYAZ,Secretariat of the National Security and Intelligence Committee of Parliamentarians,Secrétariat du Comité des parlementaires sur la sécurité nationale et le renseignement,GC Department,,nsicop-cpsnr.gc.ca
001I90000050aMNIAY,Service Canada,Service Canada,GC Department,23462a82-9c9c-402c-b99b-27179e9d35d8,servicecanada.ca
001I9000004Vt6HIAS,Shared Services Canada,Services partagés Canada,GC Department,b2ba3091-4e76-4190-9ac5-e3b2cfa6e0e4,ssc-spc.gc.ca
001I900000503tgIAA,Social Sciences and Humanities Research Council,Conseil de recherches en sciences humaines,GC Department,,sshrc-crsh.gc.ca
001I90000057LCEIA2,Social Security Tribunal of Canada,Tribunal de la sécurité sociale du Canada,GC Department,,
001I90000050b2ZIAQ,Standards Council of Canada,Conseil canadien des normes,Crown Corp,,scc.ca
001I9000004Vt6IIAS,Statistics Canada,Statistique Canada,GC Department,27a987ff-b754-4efc-8dfe-b79d62b622f5,statcan.gc.ca
001OO00000HzZtYYAV,The Correctional Investigator Canada,L'Enquêteur correctionnel Canada,GC Department,,oci-bec.gc.ca
001I9000005X2DjIAK,The National Battlefields Commission,Commission des champs de bataille nationaux,GC Department,,ccbn-nbc.gc.ca
001I9000004Vt6JIAS,Transport Canada,Transports Canada,GC Department,3371f506-4f80-42df-a741-1a3c93d186fb,tc.gc.ca
001I90000050YtsIAE,Transportation Safety Board of Canada,Bureau de la sécurité des transports du Canada,GC Department,,bst-tsb.gc.ca
001I9000004Vt6KIAS,Treasury Board of Canada Secretariat,Secrétariat du Conseil du Trésor du Canada,GC Department,25237e37-3457-4d0c-9d8e-82f3b8e6bc0a,tbs-sct.gc.ca
001I9000004Vt6LIAS,Veterans Affairs Canada,Anciens combattants Canada,GC Department,dcd62816-abee-4867-88d4-bee61253785b,veterans.gc.ca
001I900000505KfIAI,Veterans Review and Appeal Board,Tribunal des anciens combattants révision et appel,GC Department,,vrab-tacra.gc.ca
001I90000050aLyIAI,VIA Rail Canada,VIA Rail Canada,Crown Corp,,viarail.ca
001I9000004zOAzIAM,Women and Gender Equality Canada,Femmes et Égalité des genres Canada,GC Department,efae94cf-1763-43a7-8ac3-f82cfa662f78,fegc-wage.gc.ca
